Nome: BARCELOS
Codigo Estacao: A128
Latitude: -0.98722221
Longitude: -62.92416666
Altitude: 29.88
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;0;
2020-01-01;0100;0;
2020-01-01;0200;0;
2020-01-01;0300;0;
2020-01-01;0400;0;
2020-01-01;0500;0;
2020-01-01;0600;0;
2020-01-01;0700;0;
2020-01-01;0800;0;
2020-01-01;0900;0;
2020-01-01;1000;0;
2020-01-01;1100;133.11;
2020-01-01;1200;888.282;
2020-01-01;1300;1846.535;
2020-01-01;1400;2685.019;
2020-01-01;1500;3297.489;
2020-01-01;1600;3433.251;
2020-01-01;1700;3554.358;
2020-01-01;1800;3250.491;
2020-01-01;1900;2774.39;
2020-01-01;2000;1643.049;
2020-01-01;2100;999.615;
2020-01-01;2200;261.12;
2020-01-01;2300;12.069;
2020-01-02;0000;0;
2020-01-02;0100;0;
2020-01-02;0200;0;
2020-01-02;0300;0;
2020-01-02;0400;0;
2020-01-02;0500;0;
2020-01-02;0600;0;
2020-01-02;0700;0;
2020-01-02;0800;null;
2020-01-02;0900;0;
2020-01-02;1000;0;
2020-01-02;1100;85.652;
2020-01-02;1200;933.153;
2020-01-02;1300;1829.851;
2020-01-02;1400;2636.305;
2020-01-02;1500;3223.781;
2020-01-02;1600;3589.409;
2020-01-02;1700;3521.181;
2020-01-02;1800;3351.695;
2020-01-02;1900;2580.849;
2020-01-02;2000;2160.119;
2020-01-02;2100;1159.642;
2020-01-02;2200;396.703;
2020-01-02;2300;12.08;
2020-01-03;0000;0;
2020-01-03;0100;0;
2020-01-03;0200;0;
2020-01-03;0300;0;
2020-01-03;0400;0;
2020-01-03;0500;0;
2020-01-03;0600;0;
2020-01-03;0700;0;
2020-01-03;0800;0;
2020-01-03;0900;0;
2020-01-03;1000;0;
2020-01-03;1100;139.441;
2020-01-03;1200;906.523;
2020-01-03;1300;1828.765;
2020-01-03;1400;2634.467;
2020-01-03;1500;3109.669;
2020-01-03;1600;3373.189;
2020-01-03;1700;3217.544;
2020-01-03;1800;3193.517;
2020-01-03;1900;2833.823;
2020-01-03;2000;1933.633;
2020-01-03;2100;1286.634;
2020-01-03;2200;392.659;
2020-01-03;2300;9.005;
2020-01-04;0000;0;
2020-01-04;0100;0;
2020-01-04;0200;0;
2020-01-04;0300;0;
2020-01-04;0400;0;
2020-01-04;0500;0;
2020-01-04;0600;0;
2020-01-04;0700;0;
2020-01-04;0800;0;
2020-01-04;0900;0;
2020-01-04;1000;0;
2020-01-04;1100;135.833;
2020-01-04;1200;897.821;
2020-01-04;1300;1817.72;
2020-01-04;1400;2622.067;
2020-01-04;1500;3208.289;
2020-01-04;1600;3576.546;
2020-01-04;1700;3599.016;
2020-01-04;1800;3384.443;
2020-01-04;1900;2763.978;
2020-01-04;2000;2131.911;
2020-01-04;2100;1232.576;
2020-01-04;2200;421.314;
2020-01-04;2300;12.897;
2020-01-05;0000;0;
2020-01-05;0100;0;
2020-01-05;0200;0;
2020-01-05;0300;0;
2020-01-05;0400;0;
2020-01-05;0500;0;
2020-01-05;0600;0;
2020-01-05;0700;0;
2020-01-05;0800;0;
2020-01-05;0900;0;
2020-01-05;1000;0;
2020-01-05;1100;null;
2020-01-05;1200;883.435;
2020-01-05;1300;1786.197;
2020-01-05;1400;2600.017;
2020-01-05;1500;3177.654;
2020-01-05;1600;3535.297;
2020-01-05;1700;3580.296;
2020-01-05;1800;3003.411;
2020-01-05;1900;2022.36;
2020-01-05;2000;2275.74;
2020-01-05;2100;1270.418;
2020-01-05;2200;394.783;
2020-01-05;2300;16.922;
2020-01-06;0000;0;
2020-01-06;0100;0;
2020-01-06;0200;0;
2020-01-06;0300;0;
2020-01-06;0400;0;
2020-01-06;0500;0;
2020-01-06;0600;0;
2020-01-06;0700;0;
2020-01-06;0800;0;
2020-01-06;0900;0;
2020-01-06;1000;0;
2020-01-06;1100;89.257;
2020-01-06;1200;616.296;
2020-01-06;1300;1738.864;
2020-01-06;1400;2559.386;
2020-01-06;1500;3160.774;
2020-01-06;1600;3512.726;
2020-01-06;1700;3395.843;
2020-01-06;1800;3257.386;
2020-01-06;1900;2443.603;
2020-01-06;2000;2120.818;
2020-01-06;2100;1219.389;
2020-01-06;2200;373.332;
2020-01-06;2300;19.06;
2020-01-07;0000;0;
2020-01-07;0100;0;
2020-01-07;0200;0;
2020-01-07;0300;0;
2020-01-07;0400;0;
2020-01-07;0500;0;
2020-01-07;0600;0;
2020-01-07;0700;0;
2020-01-07;0800;0;
2020-01-07;0900;0;
2020-01-07;1000;0;
2020-01-07;1100;137.027;
2020-01-07;1200;933.414;
2020-01-07;1300;1768.311;
2020-01-07;1400;2576.699;
2020-01-07;1500;3177.688;
2020-01-07;1600;3556.53;
2020-01-07;1700;3584.219;
2020-01-07;1800;3358.21;
2020-01-07;1900;2845.727;
2020-01-07;2000;2107.814;
2020-01-07;2100;null;
2020-01-07;2200;null;
2020-01-07;2300;null;
2020-01-08;0000;null;
2020-01-08;0100;null;
2020-01-08;0200;null;
2020-01-08;0300;null;
2020-01-08;0400;null;
2020-01-08;0500;null;
2020-01-08;0600;null;
2020-01-08;0700;null;
2020-01-08;0800;null;
2020-01-08;0900;null;
2020-01-08;1000;null;
2020-01-08;1100;null;
2020-01-08;1200;null;
2020-01-08;1300;null;
2020-01-08;1400;null;
2020-01-08;1500;null;
2020-01-08;1600;null;
2020-01-08;1700;null;
2020-01-08;1800;null;
2020-01-08;1900;null;
2020-01-08;2000;null;
2020-01-08;2100;null;
2020-01-08;2200;null;
2020-01-08;2300;null;
2020-01-09;0000;null;
2020-01-09;0100;null;
2020-01-09;0200;null;
2020-01-09;0300;null;
2020-01-09;0400;null;
2020-01-09;0500;null;
2020-01-09;0600;null;
2020-01-09;0700;null;
2020-01-09;0800;null;
2020-01-09;0900;null;
2020-01-09;1000;null;
2020-01-09;1100;null;
2020-01-09;1200;null;
2020-01-09;1300;null;
2020-01-09;1400;null;
2020-01-09;1500;null;
2020-01-09;1600;null;
2020-01-09;1700;null;
2020-01-09;1800;null;
2020-01-09;1900;null;
2020-01-09;2000;null;
2020-01-09;2100;null;
2020-01-09;2200;null;
2020-01-09;2300;null;
2020-01-10;0000;null;
2020-01-10;0100;null;
2020-01-10;0200;null;
2020-01-10;0300;null;
2020-01-10;0400;null;
2020-01-10;0500;null;
2020-01-10;0600;null;
2020-01-10;0700;null;
2020-01-10;0800;null;
2020-01-10;0900;null;
2020-01-10;1000;null;
2020-01-10;1100;null;
2020-01-10;1200;null;
2020-01-10;1300;null;
2020-01-10;1400;null;
2020-01-10;1500;null;
