Nome: ALTO PARAISO DE GOIAS
Codigo Estacao: A024
Latitude: -14.13305554
Longitude: -47.52333332
Altitude: 1264.7
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;0;
2020-01-01;0100;0;
2020-01-01;0200;0;
2020-01-01;0300;0;
2020-01-01;0400;0;
2020-01-01;0500;0;
2020-01-01;0600;0;
2020-01-01;0700;0;
2020-01-01;0800;0;
2020-01-01;0900;.945;
2020-01-01;1000;60.106;
2020-01-01;1100;258.052;
2020-01-01;1200;1072.385;
2020-01-01;1300;2103.319;
2020-01-01;1400;2154.098;
2020-01-01;1500;2721.423;
2020-01-01;1600;2026.708;
2020-01-01;1700;464.329;
2020-01-01;1800;406.132;
2020-01-01;1900;336.597;
2020-01-01;2000;203.098;
2020-01-01;2100;595.557;
2020-01-01;2200;109.587;
2020-01-01;2300;0;
2020-01-02;0000;0;
2020-01-02;0100;0;
2020-01-02;0200;0;
2020-01-02;0300;0;
2020-01-02;0400;0;
2020-01-02;0500;0;
2020-01-02;0600;0;
2020-01-02;0700;0;
2020-01-02;0800;0;
2020-01-02;0900;3.726;
2020-01-02;1000;173.453;
2020-01-02;1100;496.161;
2020-01-02;1200;720.018;
2020-01-02;1300;1388.508;
2020-01-02;1400;1662.935;
2020-01-02;1500;2629.835;
2020-01-02;1600;3857.702;
2020-01-02;1700;1109.14;
2020-01-02;1800;1660.022;
2020-01-02;1900;1484.144;
2020-01-02;2000;1277.948;
2020-01-02;2100;311.999;
2020-01-02;2200;60.474;
2020-01-02;2300;0;
2020-01-03;0000;0;
2020-01-03;0100;0;
2020-01-03;0200;0;
2020-01-03;0300;0;
2020-01-03;0400;0;
2020-01-03;0500;0;
2020-01-03;0600;0;
2020-01-03;0700;0;
2020-01-03;0800;0;
2020-01-03;0900;4.149;
2020-01-03;1000;332.193;
2020-01-03;1100;787.994;
2020-01-03;1200;1428.543;
2020-01-03;1300;2272.11;
2020-01-03;1400;1353.39;
2020-01-03;1500;1674.237;
2020-01-03;1600;2376.838;
2020-01-03;1700;3748.679;
2020-01-03;1800;1658.374;
2020-01-03;1900;870.994;
2020-01-03;2000;800.879;
2020-01-03;2100;685.354;
2020-01-03;2200;116.066;
2020-01-03;2300;0;
2020-01-04;0000;0;
2020-01-04;0100;0;
2020-01-04;0200;0;
2020-01-04;0300;0;
2020-01-04;0400;0;
2020-01-04;0500;0;
2020-01-04;0600;0;
2020-01-04;0700;0;
2020-01-04;0800;0;
2020-01-04;0900;2.975;
2020-01-04;1000;178.889;
2020-01-04;1100;598.894;
2020-01-04;1200;1459.431;
2020-01-04;1300;1427.492;
2020-01-04;1400;1841.785;
2020-01-04;1500;957.354;
2020-01-04;1600;1077.151;
2020-01-04;1700;1261.003;
2020-01-04;1800;1284.22;
2020-01-04;1900;1409.238;
2020-01-04;2000;684.132;
2020-01-04;2100;462.897;
2020-01-04;2200;48.867;
2020-01-04;2300;.008;
2020-01-05;0000;0;
2020-01-05;0100;0;
2020-01-05;0200;0;
2020-01-05;0300;0;
2020-01-05;0400;0;
2020-01-05;0500;.011;
2020-01-05;0600;0;
2020-01-05;0700;0;
2020-01-05;0800;0;
2020-01-05;0900;1.27;
2020-01-05;1000;71.259;
2020-01-05;1100;391.475;
2020-01-05;1200;788.238;
2020-01-05;1300;1072.276;
2020-01-05;1400;266.395;
2020-01-05;1500;361.863;
2020-01-05;1600;1394.143;
2020-01-05;1700;2837.516;
2020-01-05;1800;2388.145;
2020-01-05;1900;1096.171;
2020-01-05;2000;868.437;
2020-01-05;2100;246.005;
2020-01-05;2200;44.221;
2020-01-05;2300;0;
2020-01-06;0000;0;
2020-01-06;0100;0;
2020-01-06;0200;0;
2020-01-06;0300;0;
2020-01-06;0400;.003;
2020-01-06;0500;0;
2020-01-06;0600;0;
2020-01-06;0700;0;
2020-01-06;0800;0;
2020-01-06;0900;2.871;
2020-01-06;1000;98.213;
2020-01-06;1100;454.649;
2020-01-06;1200;1491.296;
2020-01-06;1300;1871.408;
2020-01-06;1400;2546.549;
2020-01-06;1500;3360.407;
2020-01-06;1600;2034.292;
2020-01-06;1700;2949.611;
2020-01-06;1800;2367.115;
2020-01-06;1900;1261.227;
2020-01-06;2000;955.545;
2020-01-06;2100;506.947;
2020-01-06;2200;81.506;
2020-01-06;2300;0;
2020-01-07;0000;0;
2020-01-07;0100;0;
2020-01-07;0200;0;
2020-01-07;0300;0;
2020-01-07;0400;0;
2020-01-07;0500;0;
2020-01-07;0600;0;
2020-01-07;0700;0;
2020-01-07;0800;0;
2020-01-07;0900;1.654;
2020-01-07;1000;121.486;
2020-01-07;1100;518.749;
2020-01-07;1200;1165.056;
2020-01-07;1300;1453.964;
2020-01-07;1400;996.57;
2020-01-07;1500;2053.194;
2020-01-07;1600;3355.93;
2020-01-07;1700;2768.54;
2020-01-07;1800;3223.382;
2020-01-07;1900;672.53;
2020-01-07;2000;64.567;
2020-01-07;2100;67.365;
2020-01-07;2200;14.099;
2020-01-07;2300;0;
2020-01-08;0000;0;
2020-01-08;0100;null;
2020-01-08;0200;0;
2020-01-08;0300;0;
2020-01-08;0400;0;
2020-01-08;0500;0;
2020-01-08;0600;0;
2020-01-08;0700;0;
2020-01-08;0800;0;
2020-01-08;0900;6.961;
2020-01-08;1000;299.38;
2020-01-08;1100;935.048;
2020-01-08;1200;1813.598;
2020-01-08;1300;2327.419;
2020-01-08;1400;2130.441;
2020-01-08;1500;3165.154;
2020-01-08;1600;2958.504;
2020-01-08;1700;2129.631;
2020-01-08;1800;282.317;
2020-01-08;1900;719.283;
2020-01-08;2000;1010.134;
2020-01-08;2100;244.606;
2020-01-08;2200;65.674;
2020-01-08;2300;0;
2020-01-09;0000;0;
2020-01-09;0100;0;
2020-01-09;0200;0;
2020-01-09;0300;0;
2020-01-09;0400;0;
2020-01-09;0500;0;
2020-01-09;0600;0;
2020-01-09;0700;0;
2020-01-09;0800;0;
2020-01-09;0900;1.026;
2020-01-09;1000;112.208;
2020-01-09;1100;201.753;
2020-01-09;1200;268.153;
2020-01-09;1300;635.739;
2020-01-09;1400;1092.313;
2020-01-09;1500;1138.979;
2020-01-09;1600;2146.722;
2020-01-09;1700;1896.854;
2020-01-09;1800;1784.003;
2020-01-09;1900;2399.976;
2020-01-09;2000;1973.26;
2020-01-09;2100;816.745;
2020-01-09;2200;151.08;
2020-01-09;2300;0;
2020-01-10;0000;0;
2020-01-10;0100;null;
2020-01-10;0200;0;
2020-01-10;0300;0;
2020-01-10;0400;0;
2020-01-10;0500;0;
2020-01-10;0600;0;
2020-01-10;0700;0;
2020-01-10;0800;0;
